,Kaupunginosa,Huoneisto,TaloTyyppi,m2,Vh(€),Neliöhinta(€),Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka
259,Haapalinna,"2h,k,kph/wc,s,vh",kt,53.0,150000,2830,2004,6/6,on,hyvä,oma,E2013
260,Haukiluoma,"2h, k, kph / s,...",rt,61.0,139000,2279,1980,1/1,ei,hyvä,vuokra,
261,Takahuhti,"2h, kt, kph, la...",kt,36.0,147000,4083,2020,5/6,ei,hyvä,vuokra,B2018
262,Kaleva,"2h, k, kph/wc, ...",kt,59.5,170000,2857,1954,1/6,on,tyyd.,vuokra,E2018
263,Haukiluoma,"2h, kk, kph, la...",kt,38.0,118900,3129,2017,3/4,on,hyvä,vuokra,C2013
264,Vuores,2h+k+kph/s+vh+l...,kt,49.0,194000,3959,2022,5/5,on,,vuokra,B2018
265,Koivistonkylä,2h+kt+s,kt,50.5,199000,3941,2022,3/4,on,hyvä,vuokra,A2018
266,Ranta-tampella,"2h, k, kph, las...",kt,35.0,228000,6514,2020,5/9,on,hyvä,oma,B2018
267,Vuores,2h+kt,kt,46.0,142000,3087,2014,2/5,on,hyvä,vuokra,C2013
268,Ranta-tampella,"2h, kt, kph/s, ...",kt,56.0,320912,5731,2019,1/8,on,hyvä,,C2013
269,Lentävänniemi,2h+k,kt,62.5,112000,1792,1976,2/6,ei,hyvä,oma,D2018
270,Hervantajärvi,2h+kt+kph+iso l...,kt,32.0,130000,4063,2023,1/6,on,hyvä,vuokra,B2018
271,Tammela,"2h, kk, kph",kt,37.5,142000,3787,1955,6/6,on,tyyd.,vuokra,D2018
272,Lentävänniemi,2h+kk+p,kt,50.0,100000,2000,1978,5/6,on,tyyd.,oma,D2018
273,Tohloppi,2h+k+s,rt,54.0,159000,2944,1989,1/1,ei,,oma,D2018
274,Tammela,"2h, k, kph, s, ...",kt,56.0,163000,2911,1984,1/7,on,tyyd.,oma,D2018
275,Ratina,2h+k+kph+s+et+p...,kt,59.0,410000,6949,2009,3/5,on,hyvä,oma,D2018
276,Ratinanranta,"2h,kk,kph,lasit...",kt,43.0,230000,5349,2011,3/5,on,hyvä,oma,E2018
277,Ratinanranta,"2h,kk,kph,s,las...",kt,44.0,270000,6136,2009,5/5,on,hyvä,,C2018
278,Hervantajärvi,"2-3h, kt, kph, ...",kt,44.5,187000,4202,2024,3/4,on,hyvä,vuokra,A2018
279,Kaleva,"2h, k, kph, 2vh, p",kt,58.5,165000,2821,1954,1/4,ei,tyyd.,vuokra,C2018
280,Kaukajärvi,"2h,k,s",kt,59.0,145000,2458,2005,2/8,on,,oma,D2018
281,Hallila,2H + K + S,rt,59.5,155000,2605,1990,1/1,ei,tyyd.,vuokra,F2013
282,Pyynikki,2h + kk + kph,kt,40.0,112000,2800,1936,2/3,ei,hyvä,vuokra,G2013
283,Pispala,2h+k+kph+khh ti...,kt,43.5,180000,4138,1929,1/3,ei,hyvä,oma,
284,Kaukajärvi,2H+K+KPH+Lasite...,kt,52.0,90000,1731,1966,1/3,ei,tyyd.,oma,E2013
285,Rautaharkko,"2h, k, kph, vh, p",kt,53.0,74000,1396,1969,3/3,ei,huono,vuokra,F2013
286,Kaukajärvi,"2h,k, kph/wc, v...",kt,60.0,126000,2100,1966,3/3,ei,hyvä,oma,E2013
287,Lapinniemi,1h+k+kph+s+eril...,kt,67.0,330000,4925,1899,4/6,on,hyvä,oma,
288,Amuri,2h+kk+s,kt,43.5,147000,3379,1989,3/6,on,tyyd.,oma,C2018
289,Keskusta,"2h, kph, kk, pa...",kt,52.0,187000,3596,1959,3/6,on,tyyd.,oma,D2007
290,Multisilta,2h+k+p,kt,56.0,45000,804,1978,1/5,on,tyyd.,vuokra,E2018
291,Tammela,"2-3h, k, kph, s...",kt,65.5,171000,2611,1980,5/6,on,tyyd.,oma,C2007
292,Pyynikki,2h+kk+kph,kt,39.0,170000,4359,1961,3/6,on,hyvä,oma,
293,Hallila,"2h, k, kph/s, w...",rt,59.5,155000,2605,1991,1/1,ei,hyvä,vuokra,F2013
294,Multisilta,2h + kk + kph + vh,kt,51.0,83500,1637,1970,1/4,ei,tyyd.,vuokra,F2013
295,Keskusta,2h + k + kph/wc,kt,57.0,165000,2895,1957,4/7,on,,oma,F2013
296,Tammela,"2h, k, kph, vh,...",kt,59.0,212000,3593,1970,2/7,on,hyvä,oma,D2018
297,Ruotula,2h + kk + lasit...,kt,43.0,100000,2326,1966,1/3,ei,,vuokra,D2018
298,Tahmela,2h + kk + kph/w...,kt,46.0,159000,3457,1987,2/2,ei,,oma,E2018
299,Lentävänniemi,"2h, k, wc, kph/...",rt,61.0,205000,3361,1978,1/1,ei,hyvä,oma,E2013
300,Kaleva,"2h, k",kt,63.0,147000,2333,1958,2/3,ei,hyvä,vuokra,B2007
301,Tammela,"2h, k, kph, sau...",kt,56.0,167000,2982,1984,2/6,on,hyvä,oma,D2018
302,Onkiniemi,2h+työtila...,kt,65.0,245000,3769,1986,1/3,on,,oma,F2013
303,Ruotula,2h+kk,kt,42.0,107500,2560,1965,6/6,on,hyvä,vuokra,D2018
304,Hatanpää,"2h, avok, kph, ...",kt,39.5,175000,4430,2019,3/7,on,hyvä,vuokra,C2013
305,Hervanta,2h+k+kph/wc+s+p...,kt,50.0,130000,2600,2002,2/5,on,,vuokra,D2013
306,Kohmankaari,"2h, k, s, lasit. p",kt,53.5,142500,2664,2008,3/4,on,hyvä,vuokra,D2007
307,Pohtola,"2h, k, kph/wc, ...",kt,59.5,122000,2050,1972,1/3,ei,hyvä,oma,D2018
308,Lamminpää,"2h, kt",kt,40.0,165000,4125,2024,5/5,on,hyvä,oma,A2018
309,Hervanta,2h+k+kh+vh+las....,kt,54.0,68000,1259,1975,6/7,on,tyyd.,oma,C2018
310,Koivistonkylä,"2h,kk,s",kt,40.0,112000,2800,1999,1/2,ei,,oma,D2013
311,Ranta-tampella,"2h, kt, vh, kph, p",kt,44.0,328000,7455,2022,3/8,on,,,B2018
312,Olkahinen,2h+k+kph+s,rt,57.5,113000,1965,1990,1/1,ei,tyyd.,vuokra,E2018
313,Ruotula,2h+k,kt,52.0,116000,2231,1965,6/6,on,hyvä,vuokra,E2018
314,Lamminpää,"2h, kt, s",kt,49.0,184500,3765,2024,4/5,on,hyvä,oma,A2018
315,Hallila,2h + k + kph/s/...,rt,59.0,170000,2881,1996,1/1,ei,,vuokra,D2018
